x,y
1.202562783960000843e+02,2.271853635700006180e+01
1.202549523410000347e+02,2.271955858200004741e+01
1.202530295700000806e+02,2.272390386900002568e+01
1.202527621930000805e+02,2.272412844400002996e+01
1.202513635220000197e+02,2.272370492900006411e+01
1.202498499470000297e+02,2.272420631900007493e+01
1.202493298350000259e+02,2.272567580100002260e+01
1.202503571110000848e+02,2.272683861100006197e+01
1.202503374620000614e+02,2.272787786900005358e+01
1.202497466860000941e+02,2.272848226700006080e+01
1.202453289560000940e+02,2.273765862000004745e+01
1.202454262980000976e+02,2.273881268200005934e+01
1.202436465500001077e+02,2.274314171100007798e+01
1.202346117860000732e+02,2.275986591600002384e+01
1.202340405510000210e+02,2.276036736700007168e+01
1.202329160580001144e+02,2.275997905100007301e+01
1.202312395360000892e+02,2.276072588100004168e+01
1.202309348240000872e+02,2.276192607100006171e+01
1.202330488540001170e+02,2.276274211200006903e+01
1.202324051190000773e+02,2.276252534200006039e+01
1.202327178630000617e+02,2.276458409700006769e+01
1.202323601000000508e+02,2.276606757100006462e+01
1.202306180940000786e+02,2.276896942800004808e+01
1.202290530470000931e+02,2.277329125500006057e+01
1.202206034930001124e+02,2.279053555600006575e+01
1.202191847420000386e+02,2.279472368100005042e+01
1.202157401480000090e+02,2.280222210900006985e+01
1.202153842780001014e+02,2.280416295300005913e+01
1.202142282940000086e+02,2.280485409100003835e+01
1.202123297300000786e+02,2.280761087500002304e+01
1.201979065840000658e+02,2.280524591200003215e+01
1.201933189870001115e+02,2.280744045900007677e+01
1.201901555590001180e+02,2.281358591400004343e+01
1.201902837600000566e+02,2.281538441100002501e+01
1.202059830770000417e+02,2.282015385600004720e+01
1.202061677000000373e+02,2.282075713700004371e+01
1.202072036710001157e+02,2.282106691900003170e+01
1.202072462700000415e+02,2.282290689100005920e+01
1.202062290740000208e+02,2.282543209100003878e+01
1.202051573650001046e+02,2.282522573400007104e+01
1.202004521630000227e+02,2.283846292300006553e+01
1.202013143730000593e+02,2.283870042700004888e+01
1.201990325880000228e+02,2.284351887300005046e+01
1.201981458160000784e+02,2.284356166700007407e+01
1.201983929000000444e+02,2.284445115500005841e+01
1.201898071570000184e+02,2.284174611700007063e+01
1.201980840560000843e+02,2.284460694700004524e+01
1.201976870380000264e+02,2.284493199100006677e+01
1.201965170330000774e+02,2.284474648100007244e+01
1.201929214960000536e+02,2.284836134600004698e+01
1.201953413110001065e+02,2.285016233200002489e+01
1.201929546230001051e+02,2.285628400100006274e+01
1.201911102770000070e+02,2.285538109400005169e+01
1.201929140810000263e+02,2.285637258000002703e+01
1.201927782820000630e+02,2.285713957100006155e+01
1.201915876020000269e+02,2.285832942800004730e+01
1.201893960510000170e+02,2.285797512400006326e+01
1.201891993390000835e+02,2.285838181200006147e+01
1.201933266190001177e+02,2.285935831500006543e+01
1.201931151640000053e+02,2.285996587700003602e+01
1.201913491340000064e+02,2.285984468500004141e+01
1.201897010540000110e+02,2.286069053000005624e+01
1.201902099430000135e+02,2.286390442000003986e+01
1.201928584590000355e+02,2.286477472700005364e+01
1.201927828820000741e+02,2.286522039700003006e+01
1.201921026400000301e+02,2.286572571200002812e+01
1.201924515570000267e+02,2.286584588000005169e+01
1.201922124750000194e+02,2.286717662600005951e+01
1.201919688700000961e+02,2.286785147800003415e+01
1.201914732870000080e+02,2.286792077800004108e+01
1.201919015780000564e+02,2.286807548400003043e+01
1.201912330850000217e+02,2.287000823800002536e+01
1.201909497320000355e+02,2.287000046600007863e+01
1.201911934320000910e+02,2.287012309200002846e+01
1.201900831610000751e+02,2.287337877400005937e+01
1.201890807520001090e+02,2.287558319900006154e+01
