x,y
1.202562783960000843e+02,2.271853635700006180e+01
1.202557433890000311e+02,2.271896837300005245e+01
1.202555946830000266e+02,2.271886534500004018e+01
1.202554425670000455e+02,2.271887394000003724e+01
1.202549523410000347e+02,2.271955858200004741e+01
1.202537490320000870e+02,2.272281953800006704e+01
1.202533722760000501e+02,2.272355709100003196e+01
1.202530295700000806e+02,2.272390386900002568e+01
1.202527621930000805e+02,2.272412844400002996e+01
1.202513635220000197e+02,2.272370492900006411e+01
1.202498499470000297e+02,2.272420631900007493e+01
1.202493903340000543e+02,2.272566054200007102e+01
1.202493298350000259e+02,2.272567580100002260e+01
1.202494127680000702e+02,2.272607993500002976e+01
1.202503571110000848e+02,2.272683861100006197e+01
1.202503374620000614e+02,2.272787786900005358e+01
1.202497466860000941e+02,2.272848226700006080e+01
1.202493793440000900e+02,2.272946382300006007e+01
1.202490752230000908e+02,2.273005231300004425e+01
1.202488018660000080e+02,2.273040006300004734e+01
1.202486186840000073e+02,2.273102991900003644e+01
1.202475062580000440e+02,2.273315436900003306e+01
1.202472657990000471e+02,2.273393699100006415e+01
1.202470795110000381e+02,2.273430835200002775e+01
1.202469298990000652e+02,2.273443066700002646e+01
1.202469256650000489e+02,2.273469395100005386e+01
1.202467027790000884e+02,2.273491312300006939e+01
1.202456871050001155e+02,2.273710695800002668e+01
1.202453289560000940e+02,2.273765862000004745e+01
1.202453240680000590e+02,2.273783453600003668e+01
1.202455471910000142e+02,2.273834536800006845e+01
1.202454262980000976e+02,2.273881268200005934e+01
1.202440918650000867e+02,2.274164025300007097e+01
1.202436465500001077e+02,2.274314171100007798e+01
1.202434159800000089e+02,2.274335297300007142e+01
1.202430546150000055e+02,2.274427006800004847e+01
1.202427719450000723e+02,2.274447665900004267e+01
1.202424759120000317e+02,2.274492589900006578e+01
1.202424315030000344e+02,2.274522096300006524e+01
1.202421878090000291e+02,2.274545203900004253e+01
1.202420032100000071e+02,2.274584742100006451e+01
1.202419878670000344e+02,2.274611317200003668e+01
1.202418816610000931e+02,2.274618078000003152e+01
1.202415853950000155e+02,2.274673000600006390e+01
1.202415545640000119e+02,2.274696506100002580e+01
1.202414099170000554e+02,2.274708622900004684e+01
1.202411880220000739e+02,2.274753056800005879e+01
1.202411749880000116e+02,2.274784457400005522e+01
1.202409436300000607e+02,2.274802023600005896e+01
1.202407077670001172e+02,2.274850687200006405e+01
1.202407438740000316e+02,2.274861561500006246e+01
1.202403857710000921e+02,2.274914900900006387e+01
1.202396935230000281e+02,2.275066181800002596e+01
1.202393545670000776e+02,2.275109710200007385e+01
1.202393916830000080e+02,2.275130005800002664e+01
1.202393075020000879e+02,2.275146432400003960e+01
1.202391530280000325e+02,2.275147216600004185e+01
1.202390053440000202e+02,2.275158916200007297e+01
1.202387735510000084e+02,2.275200255200007859e+01
1.202388213680001172e+02,2.275220176300007324e+01
1.202385069580000163e+02,2.275233376500005988e+01
1.202381551550000722e+02,2.275282582000005505e+01
1.202382514290001154e+02,2.275310708900002510e+01
1.202380108540000947e+02,2.275321849200003044e+01
1.202377278180000530e+02,2.275367625500007307e+01
1.202377631440000414e+02,2.275379529700006742e+01
1.202379198780000706e+02,2.275384471900002836e+01
1.202379410170000256e+02,2.275400297600003796e+01
1.202375858630000494e+02,2.275406541800003879e+01
1.202373817040000858e+02,2.275428655300004266e+01
1.202373025740000685e+02,2.275451053500006537e+01
1.202373194770000282e+02,2.275478149400004213e+01
1.202367869270000256e+02,2.275555757200004336e+01
1.202366624290000345e+02,2.275602809400004389e+01
1.202362806130000763e+02,2.275657110100007685e+01
1.202362017330000299e+02,2.275689481300003081e+01
1.202350104340000598e+02,2.275869361900004151e+01
1.202346117860000732e+02,2.275986591600002384e+01
1.202340405510000210e+02,2.276036736700007168e+01
1.202329160580001144e+02,2.275997905100007301e+01
1.202319568550000213e+02,2.276051695000006703e+01
1.202312395360000892e+02,2.276072588100004168e+01
1.202312708140000268e+02,2.276084959000007757e+01
1.202309348240000872e+02,2.276192607100006171e+01
1.202330488540001170e+02,2.276274211200006903e+01
1.202324051190000773e+02,2.276252534200006039e+01
1.202326546020000251e+02,2.276343444200006161e+01
1.202327178630000617e+02,2.276458409700006769e+01
1.202325603660000297e+02,2.276488791700006686e+01
1.202323601000000508e+02,2.276606757100006462e+01
1.202321970720000763e+02,2.276644109200003641e+01
1.202306180940000786e+02,2.276896942800004808e+01
1.202290530470000931e+02,2.277329125500006057e+01
1.202277447190000430e+02,2.277539814800002205e+01
1.202265618960000211e+02,2.277816217600002346e+01
1.202261179980000634e+02,2.277891133400004264e+01
1.202256523480000396e+02,2.278021441900006039e+01
1.202238349350000135e+02,2.278355043500005195e+01
1.202228634270001066e+02,2.278553713300004802e+01
1.202226352430000134e+02,2.278668582000005927e+01
1.202206034930001124e+02,2.279053555600006575e+01
1.202201184320000493e+02,2.279245585300003540e+01
1.202192546140000786e+02,2.279377764200006595e+01
1.202191847420000386e+02,2.279472368100005042e+01
1.202176249820000749e+02,2.279785587600002827e+01
1.202173225110000203e+02,2.279879200600004197e+01
1.202164117170000281e+02,2.280093139100006283e+01
1.202157401480000090e+02,2.280222210900006985e+01
1.202157904930000996e+02,2.280259347100002287e+01
1.202154034560001037e+02,2.280364597200002663e+01
1.202155127970000876e+02,2.280391321500002277e+01
1.202153842780001014e+02,2.280416295300005913e+01
1.202147244370000863e+02,2.280437991100006911e+01
1.202142282940000086e+02,2.280485409100003835e+01
1.202139771080001083e+02,2.280541220900005328e+01
1.202136355690000755e+02,2.280580955200002791e+01
1.202125894120000567e+02,2.280743729200003145e+01
1.202123297300000786e+02,2.280761087500002304e+01
1.202080190550000225e+02,2.280683924200002366e+01
1.202038428050000221e+02,2.280625352000004114e+01
1.201979065840000658e+02,2.280524591200003215e+01
1.201933189870001115e+02,2.280744045900007677e+01
1.201901555590001180e+02,2.281358591400004343e+01
1.201902837600000566e+02,2.281538441100002501e+01
1.201904888890001075e+02,2.281536883900002977e+01
1.201904841720000832e+02,2.281529122600005621e+01
1.202059830770000417e+02,2.282015385600004720e+01
1.202061677000000373e+02,2.282075713700004371e+01
1.202072036710001157e+02,2.282106691900003170e+01
1.202073018180000190e+02,2.282260867000002236e+01
1.202072462700000415e+02,2.282290689100005920e+01
1.202065291330001173e+02,2.282444884700004195e+01
1.202065541470000198e+02,2.282458391200003689e+01
1.202062290740000208e+02,2.282543209100003878e+01
1.202051573650001046e+02,2.282522573400007104e+01
1.202036080970000285e+02,2.282993927700005088e+01
1.202004521630000227e+02,2.283846292300006553e+01
1.202013143730000593e+02,2.283870042700004888e+01
1.202001257290000922e+02,2.284137941600005206e+01
1.201990325880000228e+02,2.284351887300005046e+01
1.201985542190000160e+02,2.284343402000007472e+01
1.201981458160000784e+02,2.284356166700007407e+01
1.201985349940000560e+02,2.284407416500005183e+01
1.201983929000000444e+02,2.284445115500005841e+01
1.201981673200000387e+02,2.284456301800003075e+01
1.201909354030000259e+02,2.284219546100007392e+01
1.201906349510001064e+02,2.284202947300002506e+01
1.201900616280000804e+02,2.284190031200006388e+01
1.201900767410000981e+02,2.284178974000002427e+01
1.201898071570000184e+02,2.284174611700007063e+01
1.201897386100000631e+02,2.284196550400002934e+01
1.201912983030000532e+02,2.284238686700007293e+01
1.201934392970000545e+02,2.284308759000003874e+01
1.201934880520000206e+02,2.284317409500005169e+01
1.201937421380000615e+02,2.284318928800007598e+01
1.201980840560000843e+02,2.284460694700004524e+01
1.201976870380000264e+02,2.284493199100006677e+01
1.201969178190000775e+02,2.284472691000007671e+01
1.201965170330000774e+02,2.284474648100007244e+01
1.201930134130000170e+02,2.284817151500004684e+01
1.201929214960000536e+02,2.284836134600004698e+01
1.201929357930000606e+02,2.284847260000003644e+01
1.201952845010000601e+02,2.285002296200002547e+01
1.201953413110001065e+02,2.285016233200002489e+01
1.201950656500000605e+02,2.285041347500003894e+01
1.201950296770000932e+02,2.285055996300002334e+01
1.201952049990001115e+02,2.285074472500002685e+01
1.201945559750000712e+02,2.285278702100004011e+01
1.201929546230001051e+02,2.285628400100006274e+01
1.201917080350000333e+02,2.285564242600003126e+01
1.201914619200000516e+02,2.285537367100005213e+01
1.201911747990000094e+02,2.285531467900005964e+01
1.201911102770000070e+02,2.285538109400005169e+01
1.201929140810000263e+02,2.285637258000002703e+01
1.201927782820000630e+02,2.285713957100006155e+01
1.201923829290000185e+02,2.285772147000005816e+01
1.201915876020000269e+02,2.285832942800004730e+01
1.201893960510000170e+02,2.285797512400006326e+01
1.201891993390000835e+02,2.285838181200006147e+01
1.201933266190001177e+02,2.285935831500006543e+01
1.201932875950000152e+02,2.285968334300002880e+01
1.201931151640000053e+02,2.285996587700003602e+01
1.201913491340000064e+02,2.285984468500004141e+01
1.201898166000000856e+02,2.286048890200004280e+01
1.201897010540000110e+02,2.286069053000005624e+01
1.201902906140001051e+02,2.286381349700002374e+01
1.201902048750000631e+02,2.286382284900003015e+01
1.201902099430000135e+02,2.286390442000003986e+01
1.201902859590001071e+02,2.286400325400006750e+01
1.201924670560000550e+02,2.286458129000004647e+01
1.201928584590000355e+02,2.286477472700005364e+01
1.201927828820000741e+02,2.286522039700003006e+01
1.201924917580000738e+02,2.286573265400005539e+01
1.201921586590000288e+02,2.286567090200003349e+01
1.201921026400000301e+02,2.286572571200002812e+01
1.201924515570000267e+02,2.286584588000005169e+01
1.201923120970000127e+02,2.286602724900006933e+01
