x,y
1.202562783960000843e+02,2.271853635700006180e+01
1.202557787270000063e+02,2.271889148700006444e+01
1.202557433890000311e+02,2.271896837300005245e+01
1.202556605960000979e+02,2.271889564300005304e+01
1.202555946830000266e+02,2.271886534500004018e+01
1.202554757520000521e+02,2.271885404500005734e+01
1.202554425670000455e+02,2.271887394000003724e+01
1.202553572250000116e+02,2.271897715400007201e+01
1.202553335530000140e+02,2.271906474800005071e+01
1.202553133630000275e+02,2.271913167400003886e+01
1.202552109540000629e+02,2.271925918900006991e+01
1.202550363560001188e+02,2.271944733500004077e+01
1.202549684900000102e+02,2.271953719900005808e+01
1.202549523410000347e+02,2.271955858200004741e+01
1.202548811320000368e+02,2.271970647900002405e+01
1.202547978520000242e+02,2.271987517500002696e+01
1.202547314730001062e+02,2.272007570600004556e+01
1.202547203190000573e+02,2.272010939600005486e+01
1.202546369450000157e+02,2.272036994200004756e+01
1.202545518130000346e+02,2.272068920600003139e+01
1.202544354190000604e+02,2.272098357100003341e+01
1.202543133500000749e+02,2.272131819500003758e+01
1.202541778330000852e+02,2.272157018900003322e+01
1.202541533350000691e+02,2.272169111400006614e+01
1.202540378790000659e+02,2.272196019700004399e+01
1.202539456130000417e+02,2.272220138200003703e+01
1.202538792090000470e+02,2.272244114500006162e+01
1.202537490320000870e+02,2.272281953800006704e+01
1.202535924520000208e+02,2.272316601300002503e+01
1.202535542270001088e+02,2.272319699900003798e+01
1.202534907220000377e+02,2.272333028600007765e+01
1.202534448650000058e+02,2.272342239400006747e+01
1.202533722760000501e+02,2.272355709100003196e+01
1.202532224300000507e+02,2.272372547100002294e+01
1.202530295700000806e+02,2.272390386900002568e+01
1.202528569800000469e+02,2.272404623500005982e+01
1.202527621930000805e+02,2.272412844400002996e+01
1.202519029160000628e+02,2.272387147200004165e+01
1.202513635220000197e+02,2.272370492900006411e+01
1.202509727260001000e+02,2.272382623400005741e+01
1.202505144780000137e+02,2.272397864100003062e+01
1.202504532120000249e+02,2.272400852600003418e+01
1.202498499470000297e+02,2.272420631900007493e+01
1.202498562810000067e+02,2.272426822600004925e+01
1.202498681950000901e+02,2.272426412800007256e+01
1.202498499790000324e+02,2.272431735700007494e+01
1.202494200610000235e+02,2.272557367000007389e+01
1.202493903340000543e+02,2.272566054200007102e+01
1.202493298350000259e+02,2.272567580100002260e+01
1.202493677030000754e+02,2.272586051200005386e+01
1.202494127680000702e+02,2.272607993500002976e+01
1.202503571110000848e+02,2.272683861100006197e+01
1.202503392470000563e+02,2.272692173500007584e+01
1.202503357790000109e+02,2.272693786800005000e+01
1.202503145490001089e+02,2.272698880100006136e+01
1.202503106760000264e+02,2.272703719700007241e+01
1.202503366360000427e+02,2.272715158400006885e+01
1.202503368570000930e+02,2.272727459400005046e+01
1.202503308130001187e+02,2.272739768100007041e+01
1.202503249580000784e+02,2.272750291100004461e+01
1.202503219220000119e+02,2.272755751100004318e+01
1.202503158340000482e+02,2.272773459300003651e+01
1.202503374620000614e+02,2.272787786900005358e+01
1.202501416600000539e+02,2.272809427500004631e+01
1.202499426830000857e+02,2.272833370600005765e+01
1.202498155270000098e+02,2.272840275600003679e+01
1.202497466860000941e+02,2.272848226700006080e+01
1.202497338800000080e+02,2.272851925000003348e+01
1.202497197490000644e+02,2.272860913900007063e+01
1.202496608470000865e+02,2.272869187400004876e+01
1.202496131280000782e+02,2.272877576500002306e+01
1.202495881320000990e+02,2.272881970600002433e+01
1.202495351730000266e+02,2.272894717300005141e+01
1.202495380690000957e+02,2.272902062400004297e+01
1.202495361720000346e+02,2.272910452000007808e+01
1.202495115660000238e+02,2.272917052700006479e+01
1.202494535030000407e+02,2.272929119300005141e+01
1.202493793440000900e+02,2.272946382300006007e+01
1.202492629610001131e+02,2.272969360500002267e+01
1.202491564810001137e+02,2.272991864100004022e+01
1.202490990630000169e+02,2.273001309600005015e+01
1.202490752230000908e+02,2.273005231300004425e+01
1.202489865690000670e+02,2.273018737600006034e+01
1.202489158310000903e+02,2.273029100900004096e+01
1.202488369860000148e+02,2.273036489000003257e+01
1.202488018660000080e+02,2.273040006300004734e+01
1.202487594830000717e+02,2.273050200200003701e+01
1.202487440840000090e+02,2.273064708200007544e+01
1.202487071280000919e+02,2.273082935700006146e+01
1.202486474780000663e+02,2.273093169200006969e+01
1.202486186840000073e+02,2.273102991900003644e+01
1.202485330930001055e+02,2.273119246000004523e+01
1.202484564930000488e+02,2.273131115200004615e+01
1.202484152520000862e+02,2.273140959400006977e+01
1.202483124070000713e+02,2.273162995100005901e+01
1.202481498090000969e+02,2.273189736500006575e+01
1.202479614370000718e+02,2.273228252800004157e+01
1.202478818260000253e+02,2.273243805100003101e+01
1.202478258680000636e+02,2.273254021400003921e+01
1.202477698500000542e+02,2.273263904800006685e+01
1.202476826020000544e+02,2.273278089700005467e+01
1.202476275430000214e+02,2.273292443800005458e+01
1.202475706350001019e+02,2.273303933000005372e+01
1.202475062580000440e+02,2.273315436900003306e+01
1.202475017760000355e+02,2.273316525700005286e+01
1.202474380730000121e+02,2.273331998000003296e+01
1.202474205600000232e+02,2.273342602800005352e+01
1.202474087830000826e+02,2.273351015000002917e+01
1.202473959180000520e+02,2.273360231300006262e+01
1.202473639850001064e+02,2.273367190000004712e+01
1.202473179760000903e+02,2.273377627900003972e+01
1.202472657990000471e+02,2.273393699100006415e+01
1.202471909750000805e+02,2.273408323000006703e+01
1.202471252630000436e+02,2.273419250200004171e+01
1.202470795110000381e+02,2.273430835200002775e+01
1.202470357110000805e+02,2.273434481200007440e+01
1.202469671250000829e+02,2.273437710900003594e+01
1.202469298990000652e+02,2.273443066700002646e+01
1.202469090650000680e+02,2.273449660300002506e+01
1.202468867600000522e+02,2.273455331200005958e+01
1.202469072910000705e+02,2.273458746500006100e+01
1.202469320360000893e+02,2.273464439400004267e+01
1.202469256650000489e+02,2.273469395100005386e+01
1.202468746770000507e+02,2.273473860400002877e+01
1.202467981180000152e+02,2.273480445100005909e+01
1.202467338740000287e+02,2.273486539500004255e+01
1.202467027790000884e+02,2.273491312300006939e+01
1.202466895880000948e+02,2.273499154700004965e+01
1.202466614860001073e+02,2.273506565900004261e+01
1.202466224130000683e+02,2.273514911900002744e+01
1.202465845590000981e+02,2.273522915400002375e+01
1.202465089110000918e+02,2.273539382900003147e+01
1.202464138260000936e+02,2.273557493000004115e+01
1.202463029880000249e+02,2.273577239900004088e+01
1.202461887270001171e+02,2.273598034200006168e+01
1.202461300360000678e+02,2.273618600500003595e+01
1.202460561620000590e+02,2.273631961200004525e+01
1.202459981630000811e+02,2.273644254800007047e+01
1.202459352740000895e+02,2.273656436700002814e+01
1.202458717860000661e+02,2.273666333600004918e+01
1.202458447000000206e+02,2.273672706700006074e+01
1.202458249490000526e+02,2.273678604500003075e+01
1.202457633230000056e+02,2.273691130800006022e+01
1.202457126840000683e+02,2.273704129800006513e+01
1.202456871050001155e+02,2.273710695800002668e+01
1.202455292400001099e+02,2.273741801400007034e+01
1.202454444520000152e+02,2.273750586400007023e+01
1.202453708910001069e+02,2.273759576300005847e+01
1.202453289560000940e+02,2.273765862000004745e+01
1.202453134740001133e+02,2.273774506200004453e+01
1.202453240680000590e+02,2.273783453600003668e+01
1.202453655290000825e+02,2.273791882600005465e+01
1.202454345920000378e+02,2.273802202100006298e+01
1.202454870670001128e+02,2.273810374400005685e+01
1.202455222080000112e+02,2.273816894100002628e+01
1.202454837450001151e+02,2.273824284100004434e+01
1.202455471910000142e+02,2.273834536800006845e+01
1.202455307860000175e+02,2.273840861800005086e+01
1.202455052950000436e+02,2.273848961100003407e+01
1.202454579520000379e+02,2.273864672400003428e+01
1.202454262980000976e+02,2.273881268200005934e+01
1.202451974900000096e+02,2.273933172600004582e+01
1.202450713430000633e+02,2.273961788800005479e+01
1.202450310800001034e+02,2.273968355100004146e+01
1.202449452310000879e+02,2.273989206800007423e+01
1.202447986440000705e+02,2.274021085900005801e+01
1.202444383440000593e+02,2.274089012400003185e+01
1.202442381480000222e+02,2.274130539300006149e+01
1.202440918650000867e+02,2.274164025300007097e+01
1.202440355920000457e+02,2.274178506000004063e+01
1.202439667620000137e+02,2.274197938500003602e+01
1.202439466400001038e+02,2.274213609500003486e+01
1.202439224260000401e+02,2.274227679900002386e+01
1.202438966910000318e+02,2.274240249500007849e+01
1.202438254930000312e+02,2.274254525400004923e+01
1.202437530410001045e+02,2.274274081000004344e+01
1.202436967520000053e+02,2.274282924300007380e+01
1.202436692780000840e+02,2.274293434300005856e+01
1.202436694400000761e+02,2.274296478100006880e+01
1.202436696760000814e+02,2.274300904800003309e+01
1.202436696870000787e+02,2.274306648400005315e+01
1.202436465500001077e+02,2.274314171100007798e+01
1.202436091930001112e+02,2.274318949800004930e+01
1.202435574980000865e+02,2.274320082300005197e+01
1.202435191810000106e+02,2.274323274600004652e+01
1.202435052230000565e+02,2.274324437300003865e+01
1.202434159800000089e+02,2.274335297300007142e+01
1.202433580970000548e+02,2.274348277100006044e+01
1.202432741610000448e+02,2.274366366100002779e+01
1.202431854380000686e+02,2.274385382900004515e+01
1.202431574070000124e+02,2.274392345100005741e+01
1.202431229890000850e+02,2.274400894000007156e+01
1.202431196650001084e+02,2.274401719500002628e+01
1.202430685590001076e+02,2.274417095700005120e+01
1.202430546150000055e+02,2.274427006800004847e+01
1.202430061610000394e+02,2.274431923900004904e+01
1.202429349410000441e+02,2.274434708600006161e+01
1.202428532110000106e+02,2.274440261100005500e+01
1.202427719450000723e+02,2.274447665900004267e+01
1.202427376420000655e+02,2.274455309800003988e+01
1.202426439460000438e+02,2.274468296200006989e+01
1.202425862540001162e+02,2.274476292400004240e+01
1.202424759120000317e+02,2.274492589900006578e+01
1.202424560870000505e+02,2.274498262600002363e+01
1.202424485730000470e+02,2.274503560300007621e+01
1.202424619770000618e+02,2.274508128200005785e+01
1.202424619130000565e+02,2.274513336100005745e+01
1.202424619060000168e+02,2.274513872800002900e+01
1.202424315030000344e+02,2.274522096300006524e+01
1.202423791020000863e+02,2.274525874400006842e+01
1.202423726630000829e+02,2.274526296000004777e+01
1.202423266370000192e+02,2.274529310200006194e+01
1.202422379680000404e+02,2.274536945300002344e+01
1.202421878090000291e+02,2.274545203900004253e+01
1.202421186190000526e+02,2.274558825700006537e+01
1.202421046890000298e+02,2.274561568300003955e+01
1.202420835860000352e+02,2.274566387100003340e+01
1.202420032100000071e+02,2.274584742100006451e+01
1.202419861950000950e+02,2.274591906400007701e+01
1.202419884980000688e+02,2.274596839400004455e+01
1.202419885690001138e+02,2.274602545300007250e+01
1.202419885720000821e+02,2.274602817900006357e+01
1.202419878670000344e+02,2.274611317200003668e+01
1.202419587420000653e+02,2.274613787000004095e+01
1.202419108630000437e+02,2.274615608400006295e+01
1.202418816610000931e+02,2.274618078000003152e+01
1.202418411920000381e+02,2.274625393800005213e+01
1.202417639370000870e+02,2.274640133500003003e+01
1.202417042270000138e+02,2.274651350800007776e+01
1.202417042070001116e+02,2.274651354700006323e+01
1.202416699830000653e+02,2.274657784000004312e+01
1.202415853950000155e+02,2.274673000600006390e+01
1.202415667150000900e+02,2.274678320900005701e+01
1.202415615230000867e+02,2.274687342600003603e+01
1.202415604210000311e+02,2.274689256200002774e+01
1.202415545640000119e+02,2.274696506100002580e+01
1.202415233260001060e+02,2.274700935400005619e+01
1.202414793920000875e+02,2.274704003000005059e+01
1.202414743790000102e+02,2.274704336400003513e+01
1.202414099170000554e+02,2.274708622900004684e+01
1.202413086270000804e+02,2.274726738400005388e+01
1.202412462290000121e+02,2.274740355000005820e+01
1.202411880220000739e+02,2.274753056800005879e+01
1.202411534070000698e+02,2.274764845800007151e+01
1.202411629750000657e+02,2.274769077400003425e+01
1.202411793050000597e+02,2.274775949700006095e+01
1.202411749880000116e+02,2.274784457400005522e+01
1.202411534340000117e+02,2.274787942200003954e+01
1.202411243170000716e+02,2.274791747600005465e+01
1.202411121510000385e+02,2.274793974200002822e+01
1.202410623330000590e+02,2.274795938200003320e+01
1.202409894090000080e+02,2.274796075200003997e+01
1.202409773380001070e+02,2.274797643700003391e+01
1.202409436300000607e+02,2.274802023600005896e+01
1.202408567740000080e+02,2.274822315700004083e+01
1.202408369080000057e+02,2.274826957000004768e+01
1.202408015060000253e+02,2.274834121400004960e+01
1.202407559660000516e+02,2.274843033000007608e+01
1.202407280670000773e+02,2.274847463700007211e+01
1.202407077670001172e+02,2.274850687200006405e+01
1.202407083390000935e+02,2.274851239400004488e+01
1.202407122690000278e+02,2.274855043200005866e+01
1.202407291190000933e+02,2.274859730200006425e+01
1.202407438740000316e+02,2.274861561500006246e+01
1.202406247110000095e+02,2.274883417200004487e+01
1.202405774130000964e+02,2.274884877600004529e+01
1.202405300670000088e+02,2.274890111200005549e+01
1.202404977630000076e+02,2.274896364900007484e+01
1.202404644070001041e+02,2.274904225800003132e+01
1.202404072110000470e+02,2.274911990100002868e+01
1.202403857710000921e+02,2.274914900900006387e+01
1.202403430900000103e+02,2.274925882000002275e+01
1.202403379560000758e+02,2.274927234600005477e+01
1.202402992540000923e+02,2.274937431500006824e+01
1.202402912330001072e+02,2.274944609100003845e+01
1.202400855120000642e+02,2.274982347500002788e+01
1.202400586220001060e+02,2.274985100100002455e+01
1.202399624720001157e+02,2.275001664100005883e+01
1.202398915290000332e+02,2.275021294500004387e+01
1.202398430160000089e+02,2.275027340200006165e+01
1.202398134430001164e+02,2.275035076300002856e+01
1.202398278640000626e+02,2.275037078900004417e+01
1.202396935230000281e+02,2.275066181800002596e+01
1.202396801540000979e+02,2.275066861800007700e+01
1.202395963120001170e+02,2.275075709900005450e+01
1.202395395020000706e+02,2.275083604900004275e+01
1.202394826940001167e+02,2.275091498500006537e+01
1.202394135640000741e+02,2.275099974500005828e+01
1.202393545670000776e+02,2.275109710200007385e+01
1.202393300130000853e+02,2.275118133500006934e+01
1.202393455360000871e+02,2.275122135200007278e+01
1.202393916830000080e+02,2.275130005800002664e+01
1.202393075020000879e+02,2.275146432400003960e+01
1.202392491980000386e+02,2.275145013800005245e+01
1.202391530280000325e+02,2.275147216600004185e+01
1.202390711960000544e+02,2.275153075600002239e+01
1.202390053440000202e+02,2.275158916200007297e+01
1.202389571380000461e+02,2.275166571200003318e+01
1.202388925630000358e+02,2.275179871600005299e+01
1.202387934280000081e+02,2.275193680200004565e+01
1.202387735510000084e+02,2.275200255200007859e+01
1.202387895450000315e+02,2.275207351900007779e+01
1.202388164640000241e+02,2.275212948400002233e+01
1.202388213680001172e+02,2.275220176300007324e+01
1.202387706270000081e+02,2.275227261000003409e+01
1.202386822280000160e+02,2.275231292600005872e+01
1.202385834580001074e+02,2.275232583100006423e+01
1.202385195680000152e+02,2.275234856400004446e+01
1.202385069580000163e+02,2.275233376500005988e+01
1.202384811250000212e+02,2.275241684200005921e+01
1.202384231040000486e+02,2.275249695000002248e+01
1.202383575580000752e+02,2.275257251500005395e+01
1.202382932180000807e+02,2.275264808300005370e+01
1.202382241070000646e+02,2.275272950000004357e+01
1.202381551550000722e+02,2.275282582000005505e+01
1.202381588580000198e+02,2.275289817400005177e+01
1.202381867380000813e+02,2.275293914100006987e+01
1.202382443960000273e+02,2.275298429800005806e+01
1.202382639160000508e+02,2.275304147700006752e+01
1.202382514290001154e+02,2.275310708900002510e+01
1.202381769170000325e+02,2.275316326500006880e+01
1.202381081050000375e+02,2.275318950700005871e+01
1.202380328050001026e+02,2.275319862900005319e+01
1.202380108540000947e+02,2.275321849200003044e+01
1.202379674450000948e+02,2.275328458000007004e+01
1.202379254730000184e+02,2.275336675800002695e+01
1.202378482950000489e+02,2.275348389700002372e+01
1.202377612880001152e+02,2.275360687900007406e+01
1.202377278180000530e+02,2.275367625500007307e+01
1.202377278730000398e+02,2.275375439000004008e+01
1.202377631440000414e+02,2.275379529700006742e+01
1.202378251110000065e+02,2.275380128100005095e+01
1.202378747620000468e+02,2.275381208500004959e+01
1.202379198780000706e+02,2.275384471900002836e+01
1.202379456980000896e+02,2.275391104900006667e+01
1.202379410170000256e+02,2.275400297600003796e+01
1.202378527370000256e+02,2.275405015500007266e+01
1.202377764760000218e+02,2.275407310100007408e+01
1.202377108830000907e+02,2.275406944700006306e+01
1.202376488550000886e+02,2.275405993900005797e+01
1.202375858630000494e+02,2.275406541800003879e+01
1.202375283900000795e+02,2.275410416500005795e+01
1.202374653810001064e+02,2.275418542900007424e+01
1.202373817040000858e+02,2.275428655300004266e+01
1.202373288990000901e+02,2.275438150500002621e+01
1.202373025740000685e+02,2.275451053500006537e+01
1.202372982600001023e+02,2.275462324700004046e+01
1.202373194770000282e+02,2.275478149400004213e+01
1.202372700680000435e+02,2.275485803700007637e+01
1.202371872950000125e+02,2.275494074300007696e+01
1.202371255650000421e+02,2.275502318800005241e+01
1.202370369950000395e+02,2.275512320700005375e+01
1.202369708350000792e+02,2.275523670300003687e+01
1.202369035970000368e+02,2.275535716000007369e+01
1.202368736330000729e+02,2.275548968800006833e+01
1.202367906640000683e+02,2.275555464600006417e+01
1.202367869270000256e+02,2.275555757200004336e+01
1.202367476960000658e+02,2.275565230700004804e+01
1.202367088200001035e+02,2.275577008000004753e+01
1.202366848720000689e+02,2.275588992100006180e+01
1.202366714690000435e+02,2.275597244100003991e+01
1.202366624290000345e+02,2.275602809400004389e+01
1.202365895520000549e+02,2.275610723400006918e+01
1.202365434040000309e+02,2.275623311000003923e+01
1.202364919770000142e+02,2.275634061800002428e+01
1.202363992620000772e+02,2.275642011600007208e+01
1.202363916840000684e+02,2.275642858500003740e+01
1.202363409990000491e+02,2.275648522900007720e+01
1.202362806130000763e+02,2.275657110100007685e+01
1.202362499330000674e+02,2.275665884200003575e+01
1.202362317090000943e+02,2.275672075200003519e+01
1.202362159720000818e+02,2.275677421200003891e+01
1.202362017330000299e+02,2.275689481300003081e+01
1.202353640870001072e+02,2.275815962400002945e+01
1.202350104340000598e+02,2.275869361900004151e+01
1.202349170560000857e+02,2.275896821400004910e+01
1.202346117860000732e+02,2.275986591600002384e+01
1.202344805330000099e+02,2.276004412900005036e+01
1.202343144470000880e+02,2.276017403600002353e+01
1.202342368600000100e+02,2.276024080700005925e+01
1.202341692730000204e+02,2.276029897400002255e+01
1.202340405510000210e+02,2.276036736700007168e+01
1.202340206260000741e+02,2.276037076600005093e+01
1.202340136870000151e+02,2.276037194900004579e+01
1.202339739880001162e+02,2.276037871700003734e+01
1.202335090670001136e+02,2.276019534500005648e+01
1.202331536060000872e+02,2.276005514600007018e+01
1.202330030250000164e+02,2.275999581500002478e+01
1.202329160580001144e+02,2.275997905100007301e+01
1.202319568550000213e+02,2.276051695000006703e+01
1.202312395360000892e+02,2.276072588100004168e+01
1.202312708140000268e+02,2.276084959000007757e+01
1.202312688800000160e+02,2.276085662800005593e+01
1.202310110500000064e+02,2.276179428400007509e+01
1.202309348240000872e+02,2.276192607100006171e+01
1.202315354760000901e+02,2.276216170300006070e+01
1.202321893780000437e+02,2.276239794800005711e+01
1.202329401170001120e+02,2.276269856800007574e+01
1.202330488540001170e+02,2.276274211200006903e+01
1.202330394230000365e+02,2.276277665400004935e+01
1.202329967660000420e+02,2.276275924300006182e+01
1.202324286430000484e+02,2.276252736100002494e+01
1.202324051190000773e+02,2.276252534200006039e+01
1.202324093900000435e+02,2.276256663200007324e+01
1.202324481950000745e+02,2.276269480200005546e+01
1.202324893660000953e+02,2.276281612900004347e+01
1.202325307600000315e+02,2.276295578000002706e+01
1.202325738940000974e+02,2.276312868100006881e+01
1.202326086190000751e+02,2.276326724700004434e+01
1.202326169510000682e+02,2.276330049800003508e+01
1.202326546020000251e+02,2.276343444200006161e+01
